Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_0839,219.0877908,4.004610502,ascr#5,C9H16O6,M-H,ms2,Yes,no,ascr#7--54.046,NA,Cluster_1254,1_layer_gnps,simil:0.8877; mzdiff:NA; homol mz:NA; homol RT:NA,NA,54.0459439,1
Cluster_3279,534.1722775,6.352859354,,,,,Yes,no,angl#4+-37.077,NA,Cluster_2972,1_layer_gnps,simil:0.9193; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-37.07669909999993,1
Cluster_3306,539.1278436,5.548127132,,,,,Yes,no,iglu#2+-181.058,NA,Cluster_2005,1_layer_gnps,simil:0.8751; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-181.0582546,2
Cluster_3310,540.1983274,11.29286616,,,,,Yes,no,iglu#4+-63.092,NA,Cluster_2815,1_layer_gnps,simil:0.8919; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-63.09250490000005,1
Cluster_3324,542.1417544,11.25646062,,,,,Yes,no,angl#4+-45.046,NA,Cluster_2972,1_layer_gnps,simil:0.9228; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-45.046175999999946,1
Cluster_3353,545.0921306,9.387782863,,,,,Yes,no,iglu#4+-67.986,NA,Cluster_2815,1_layer_gnps,simil:0.8949; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-67.98630810000003,1
Cluster_3354,545.0943735,11.8548308,,,,,Yes,no,iglu#2+-187.025,NA,Cluster_2005,1_layer_gnps,simil:0.8048; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-187.02478449999995,1
Cluster_3358,545.0944227,11.03784726,,,,,Yes,no,iglu#4+-67.989,NA,Cluster_2815,1_layer_gnps,simil:0.8352; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-67.98860020000001,1
Cluster_3391,553.1564969,7.353308592,,,,,Yes,no,angl#4+C4H8,C24H31N2O11P,Cluster_2972,1_layer_mass,simil:NA; mzdiff:C4H8; homol mz:NA; homol RT:NA,NA,-56.06091849999996,1
Cluster_3406,556.1584452,11.32323455,,,,,Yes,no,angl#4+-59.063,NA,Cluster_2972,1_layer_gnps,simil:0.9021; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-59.06286679999994,1
Cluster_3414,559.1482405,12.37495757,,,,,Yes,no,iglu#4+C5H6O,C26H29N2O10P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04241800000005,1
Cluster_3424,562.1695381,7.397215371,,,,,Yes,no,iglu#4+-85.064,NA,Cluster_2815,1_layer_gnps,simil:0.8207; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-85.06371559999997,2
Cluster_3434,565.1222274,9.410226361,,,,,Yes,no,angl#4+-68.027,NA,Cluster_2972,1_layer_gnps,simil:0.8119; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-68.02664900000002,1
Cluster_3465,570.1277574,11.57505944,,,,,Yes,no,iglu#4+-93.022,NA,Cluster_2815,1_layer_gnps,simil:0.8506; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-93.02193489999996,1
Cluster_3494,576.2205015,7.632627203,,,,,Yes,no,angl#4+-79.125,NA,Cluster_2972,1_layer_gnps,simil:0.9281; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-79.12492309999993,1
Cluster_3525,579.1379674,11.15648596,,,,,Yes,no,angl#4+C5H6O,C25H29N2O12P,Cluster_2972,2_layers_gnps_mass,simil:0.824; mzdiff:ascr -> mbas (+C5H6O); homol mz:NA; homol RT:NA,NA,-82.04238899999996,1
Cluster_3526,579.1740374,7.662858933,,,,,Yes,no,iglu#4+-102.068,NA,Cluster_2815,1_layer_gnps,simil:0.9182; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-102.06821489999999,2
Cluster_3550,582.1276767,10.56157963,,,,,Yes,no,iglu#4+-105.022,NA,Cluster_2815,1_layer_gnps,simil:0.8475; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02185420000006,2
Cluster_3551,582.1276719,10.78216782,,,,,Yes,no,iglu#4+-105.022,NA,Cluster_2815,1_layer_gnps,simil:0.8912; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02184940000001,1
Cluster_3552,582.1284117,12.00821925,,,,,Yes,no,iglu#4+-105.023,NA,Cluster_2815,1_layer_gnps,simil:0.8945; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-105.02258920000003,2
Cluster_3603,590.1537391,7.132811381,,,,,Yes,no,iglu#4+-113.048,NA,Cluster_2815,1_layer_gnps,simil:0.8389; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-113.04791660000006,2
Cluster_3625,596.1435454,12.21547134,,,,,Yes,no,iglu#4+-119.038,NA,Cluster_2815,1_layer_gnps,simil:0.884; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-119.0377229,2
Cluster_3627,597.1264251,11.12480908,,,,,Yes,no,iglu#4+C7H4O2,C28H27N2O11P,Cluster_2815,2_layers_gnps_mass,simil:0.8734; mzdiff:ascr -> hbas (+C7H4O2); homol mz:NA; homol RT:NA,NA,-120.02060260000002,1
Cluster_3653,601.1581282,7.958703188,,,,,Yes,no,iglu#4+-124.052,NA,Cluster_2815,1_layer_gnps,simil:0.8809; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-124.05230569999998,2
Cluster_3654,601.1598899,9.888524425,,,,,Yes,no,iglu#4+-124.054,NA,Cluster_2815,1_layer_gnps,simil:0.9114; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-124.05406740000006,2
Cluster_3723,616.1341278,11.08057551,,,,,Yes,no,angl#4+-119.039,NA,Cluster_2972,1_layer_gnps,simil:0.8115; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-119.03854939999997,1
Cluster_3724,616.1704622,7.646532408,,,,,Yes,no,iglu#4+-139.065,NA,Cluster_2815,1_layer_gnps,simil:0.8664; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-139.0646397,2
Cluster_3725,616.2155935,8.223444631,,,,,Yes,no,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14600449999995,1
Cluster_3726,616.2165088,8.847596769,,,,,Yes,no,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14691980000003,2
Cluster_3727,616.2176527,9.567159956,,,,,No,yes,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1480637,1
Cluster_3728,616.2165082,10.57096236,,,,,Yes,no,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1469192,2
Cluster_3729,616.2176527,9.567159956,,,,,No,yes,iglu#2+C13H22O5,C27H40NO13P,Cluster_2005,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.1480637,1
Cluster_3733,617.1544168,7.063894744,,,,,Yes,no,iglu#4+-140.049,NA,Cluster_2815,1_layer_gnps,simil:0.8419; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-140.04859430000005,2
Cluster_3735,617.1543819,9.31334888,,,,,Yes,no,iglu#4+-140.049,NA,Cluster_2815,1_layer_gnps,simil:0.8876; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-140.0485594,2
Cluster_3743,618.1500025,5.713259609,,,,,Yes,no,iglu#4+-141.044,NA,Cluster_2815,1_layer_gnps,simil:0.8595; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-141.04418000000004,2
Cluster_3811,632.1658531,6.835254808,,,,,Yes,no,iglu#4+-155.06,NA,Cluster_2815,1_layer_gnps,simil:0.8733; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-155.06003060000006,2
Cluster_3818,634.227632,6.517473678,,,,,Yes,no,iglu#4+-157.122,NA,Cluster_2815,1_layer_gnps,simil:0.86; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-157.12180949999998,2
Cluster_3819,634.1916296,8.530250443,,,,,Yes,no,iglu#4+-157.086,NA,Cluster_2815,1_layer_gnps,simil:0.875; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-157.08580710000007,2
Cluster_3836,636.2064092,7.965506988,,,,,Yes,no,iglu#4+-159.101,NA,Cluster_2815,1_layer_gnps,simil:0.832; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-159.10058670000006,2
Cluster_3837,636.2063846,9.198166195,,,,,Yes,no,angl#4+-139.111,NA,Cluster_2972,1_layer_gnps,simil:0.9114; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-139.11080619999996,1
Cluster_3845,637.2176344,8.301444863,,,,,Yes,no,iglu#4+-160.112,NA,Cluster_2815,1_layer_gnps,simil:0.8948; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-160.11181189999996,1
Cluster_3879,642.2324059,11.8645337,,,,,Yes,no,iglu#4+-165.127,NA,Cluster_2815,1_layer_gnps,simil:0.8799; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-165.12658340000002,1
Cluster_3890,644.2479415,10.64069844,,,,,Yes,no,iglu#4+-167.142,NA,Cluster_2815,1_layer_gnps,simil:0.8807; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-167.14211900000004,1
Cluster_3925,653.2119018,7.619279868,,,,,Yes,no,iglu#4+-176.106,NA,Cluster_2815,1_layer_gnps,simil:0.9138; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-176.10607929999998,2
Cluster_4021,680.2704023,7.172366487,,,,,Yes,no,iglu#4+-203.165,NA,Cluster_2815,1_layer_gnps,simil:0.8529; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-203.1645798,2
Cluster_4252,731.2223854,11.23066449,,,,,Yes,no,iglu#4+-254.117,NA,Cluster_2815,1_layer_gnps,simil:0.8315; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-254.11656290000002,1
Cluster_4258,735.2541686,11.43182936,,,,,Yes,no,iglu#4+C13H22O5,C34H45N2O14P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:ascr#1; homol mz:NA; homol RT:NA,NA,-258.14834609999997,1
Cluster_4395,763.2737199,7.2054236,,,,,Yes,no,iglu#2+-405.204,NA,Cluster_2005,1_layer_gnps,simil:0.8589; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-405.20413089999994,1
Cluster_4539,823.2701806,9.402671667,,,,,Yes,no,iglu#4+-346.164,NA,Cluster_2815,1_layer_gnps,simil:0.8862; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-346.1643581,1
Cluster_5244,345.1519772,4.455433333,,,,,No,no,ascr#3+CO2,C16H26O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.98749929999997,1
Cluster_5259,358.1141173,9.350728754,,,,,Yes,no,iglu#2+-0.045,NA,Cluster_2005,1_layer_gnps,simil:0.9591; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-0.04452829999996766,1
Cluster_5303,437.2041793,2.365964084,,,,,Yes,no,ascr#1+C6H10O5,C19H34O11,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol mz:NA; homol RT:NA,NA,-162.0545371,1
Cluster_5355,482.084148,9.804959816,,,,,Yes,no,iglu#4+-4.978,NA,Cluster_2815,1_layer_gnps,simil:0.8628; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-4.9783255000000395,2
Cluster_5391,530.0839169,11.31114146,,,,,Yes,no,iglu#4+-52.978,NA,Cluster_2815,1_layer_gnps,simil:0.8447; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-52.978094399999975,1
Cluster_5394,534.175555,8.701473392,,,,,Yes,no,iglu#4+-57.07,NA,Cluster_2815,1_layer_gnps,simil:0.8424; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-57.06973250000004,1
Cluster_5408,576.2220315,9.570463404,,,,,Yes,no,iglu#4+-99.116,NA,Cluster_2815,1_layer_gnps,simil:0.8434; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-99.11620899999997,1
Cluster_5460,662.222015,9.655986464,,,,,Yes,no,iglu#4+-185.116,NA,Cluster_2815,1_layer_gnps,simil:0.8444; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-185.11619250000007,2
Cluster_5662,462.8402094,8.328787468,,,,,Yes,no,iglu#2+-104.771,NA,Cluster_2005,1_layer_gnps,simil:0.9796; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-104.77062039999998,3
Cluster_5678,357.8984858,6.099891465,,,,,Yes,no,iglu#2-0.171,NA,Cluster_2005,1_layer_gnps,simil:0.9904; mzdiff:NA; homol mz:NA; homol RT:NA,NA,0.17110320000000456,3
Cluster_6176,300.1377812,8.769949333,,,,,Yes,no,ascr#7+-27.004,NA,Cluster_1254,1_layer_gnps,simil:0.8076; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-27.004046500000015,3
Cluster_6177,301.1643753,7.380558359,,,,,No,no,ascr#7+C2H4,C15H26O6,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030640600000027,2
Cluster_6178,301.1643753,7.380558359,,,,,No,no,ascr#7+C2H4,C15H26O6,Cluster_1254,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.030640600000027,2
Cluster_6182,303.181861,10.70006667,,,,,No,no,ascr#1+C2H4,C15H28O6,Cluster_1269,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.03221880000001,2
Cluster_6215,341.1979403,5.947041896,,,,,Yes,no,ascr#15+C2H2,C18H30O6,Cluster_1615,1_layer_mass,simil:NA; mzdiff:C2H2; homol mz:NA; homol RT:NA,NA,-26.017960000000016,1
Cluster_6217,341.1979403,5.947041896,,,,,No,no,ascr#15+C2H2,C18H30O6,Cluster_1615,1_layer_mass,simil:NA; mzdiff:C2H2; homol mz:NA; homol RT:NA,NA,-26.017960000000016,1
Cluster_6220,345.1522822,3.199916667,,,,,No,no,ascr#3+CO2,C16H26O8,Cluster_1488,1_layer_mass,simil:NA; mzdiff:Carboxylation (+CO2); homol mz:NA; homol RT:NA,NA,-43.98780429999999,1
Cluster_6223,347.208416,8.480025404,,,,,Yes,no,ascr#1+C4H8O,C17H32O7,Cluster_1269,1_layer_mass,simil:NA; mzdiff:C4H8O; homol mz:NA; homol RT:NA,NA,-72.05877379999998,3
Cluster_6267,411.1804636,21.2551527,,,,,No,no,ascr#18+HPO3,C17H33O9P,Cluster_1783,1_layer_mass,simil:NA; mzdiff:Phosphorylation (+HPO3); homol mz:NA; homol RT:NA,NA,-79.96851629999998,1
Cluster_6323,505.1337551,7.899709546,,,,,Yes,no,iglu#4+C2H4,C23H27N2O9P,Cluster_2815,1_layer_mass,simil:NA; mzdiff:Ethylation (+C2H4); homol mz:NA; homol RT:NA,NA,-28.027932599999986,1
Cluster_6360,565.083662,9.307179926,,,,,Yes,no,iglu#2+-207.014,NA,Cluster_2005,1_layer_gnps,simil:0.8246; mzdiff:NA; homol mz:NA; homol RT:NA,NA,-207.014073,2
